activation_function,num_g,num_h,rmse,mse,r2
KAN_Feynman_activation_funcs/Feynman_I_16_6/a0.csv,3,0,0.00021229676251226852,4.506991537319054e-08,0.9999565516113789
KAN_Feynman_activation_funcs/Feynman_I_16_6/a1.csv,1,1,9.13901561592311e-05,8.352160642808646e-09,0.9998212281521434
KAN_Feynman_activation_funcs/Feynman_I_16_6/b0.csv,0,2,0.000882665074958329,7.790976345511925e-07,0.9991946831838864
KAN_Feynman_activation_funcs/Feynman_I_16_6/b1.csv,2,0,0.000145425777693452,2.1148656817745326e-08,0.9995609402341322
KAN_Feynman_activation_funcs/Feynman_I_16_6/node1_0.csv,1,1,0.00620503404224433,3.8502447465411016e-05,0.9993747697415412
KAN_Feynman_activation_funcs/Feynman_I_16_6/node1_1.csv,1,1,0.008983616377315264,8.070536321476704e-05,0.9992375996773786
