activation_function,num_g,num_h,rmse,mse,r2
KAN_Feynman_activation_funcs/Feynman_II_2_42/a0.csv,2,0,0.008228281052631556,6.770460908109547e-05,0.9996276899558286
KAN_Feynman_activation_funcs/Feynman_II_2_42/a1.csv,0,1,0.0022947579511063375,5.265914054165755e-06,0.9993097241376044
KAN_Feynman_activation_funcs/Feynman_II_2_42/b0.csv,1,1,0.004717570188075438,2.2255468479418127e-05,0.9997868704042114
KAN_Feynman_activation_funcs/Feynman_II_2_42/b1.csv,2,0,0.0017526904623615858,3.071923856853269e-06,0.9991906269541774
KAN_Feynman_activation_funcs/Feynman_II_2_42/node1_0.csv,2,0,0.001863487597608819,3.472586026441888e-06,0.9999817619913095
KAN_Feynman_activation_funcs/Feynman_II_2_42/node1_1.csv,2,1,0.0011004553110111105,1.21100189153256e-06,0.9999214736749916
