activation_function,num_g,num_h,rmse,mse,r2
KAN_Feynman_activation_funcs/Feynman_I_40_1/a0.csv,3,0,0.0003719409699994729,1.3834008516414882e-07,0.9997060453663562
KAN_Feynman_activation_funcs/Feynman_I_40_1/a1.csv,3,0,5.6554860841568345e-05,3.1984522848091603e-09,0.9999986508655607
KAN_Feynman_activation_funcs/Feynman_I_40_1/n0.csv,3,0,0.0005306931165779452,2.8163518398321247e-07,0.9999303202654565
KAN_Feynman_activation_funcs/Feynman_I_40_1/n1.csv,1,1,0.000120166433676036,1.443997178241716e-08,0.9999955414196919
KAN_Feynman_activation_funcs/Feynman_I_40_1/node1_0.csv,1,1,0.00040087892916720733,1.6070391585024685e-07,0.999847932256291
KAN_Feynman_activation_funcs/Feynman_I_40_1/node1_1.csv,3,1,0.0035284715401904367,1.2450111409933873e-05,0.9999512988002579
