activation_function,num_g,num_h,rmse,mse,r2
KAN_Feynman_activation_funcs/Feynman_I_37_4/a0.csv,1,1,0.0008057471703950327,6.492285025996018e-07,0.9999619837912388
KAN_Feynman_activation_funcs/Feynman_I_37_4/a1.csv,1,1,0.00010683684182609922,1.1414110771374944e-08,0.9999032722249331
KAN_Feynman_activation_funcs/Feynman_I_37_4/delta0.csv,2,0,0.03578292038167867,0.0012804173910415547,0.9990646665052151
KAN_Feynman_activation_funcs/Feynman_I_37_4/delta1.csv,2,1,0.004378588475138263,1.9172037034613622e-05,0.9999382394993771
KAN_Feynman_activation_funcs/Feynman_I_37_4/node1_0.csv,2,0,0.027085817615202845,0.0007336415158840328,0.9999022047109967
KAN_Feynman_activation_funcs/Feynman_I_37_4/node1_1.csv,1,2,0.05626428362430681,0.00316566961175644,0.9997466197092638
