activation_function,num_g,num_h,rmse,mse,r2
KAN_Feynman_activation_funcs/Feynman_I_6_2/node1_0.csv,1,2,0.0023624274820044184,5.581063607729736e-06,0.999649637065563
KAN_Feynman_activation_funcs/Feynman_I_6_2/node1_1.csv,3,0,0.0012448836420188047,1.5497352821660033e-06,0.9992959962690465
KAN_Feynman_activation_funcs/Feynman_I_6_2/sigma0.csv,2,1,0.002987148037775212,8.9230533995843e-06,0.9999619888475766
KAN_Feynman_activation_funcs/Feynman_I_6_2/sigma1.csv,3,0,9.45161734616605e-05,8.933307045834696e-09,0.9999817735514347
KAN_Feynman_activation_funcs/Feynman_I_6_2/theta0.csv,1,1,0.005198561009751277,2.7025036572106213e-05,0.9991495606326167
KAN_Feynman_activation_funcs/Feynman_I_6_2/theta1.csv,2,0,0.0003445552432256123,1.1871831563426086e-07,0.9994363240233826
